"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","Operational"
"39","138.55930357909077","150.4823518995349","0.034423828125","0.0283203125","0.04052734375","1560","0.00030057643929350065","32","0.00030057643929350065","0","0.00030057643929350065","0.00030057643929350065","38:0.002036081409282714;40:0.002704051475963254","38:68;40:68","38:0.003638465347046038;40:0.002640394212906655","Yes"
"40","238.87178547003413","288.65860245622144","0.01904296875","0.01318359375","0.02490234375","1560","0.0002627755682679268","32","0.0002627755682679268","0","0.0002627755682679268","0.0002627755682679268","41:0.016532921341523482;34:0.0017714069296256574;39:0.002704051475963254","41:68;34:96;39:68","41:0.014023599166673922;34:0.0034623767195070543;39:0.002640394212906655","Yes"
"41","54.860850932797774","40.75972036066525","0.025390625","0.0380859375","0.0126953125","1560","0.0040699361822854815","32","0.0040699361822854815","0","0.0040699361822854815","0.0040699361822854815","40:0.016532921341523482;42:0.024861696779008957","40:68;42:68","40:0.014023599166673922;42:0.024145953910835738","Yes"
"42","302.593691242391","155.98252784661273","0.123291015625","0.12060546875","0.1259765625","1560","0.00015871673530972073","32","0.00015871673530972073","0","0.00015871673530972073","0.00015871673530972073","41:0.024861696779008957;43:0.002390648561429065;54:0.002100001092567555","41:68;43:68;54:80","41:0.024145953910835738;43:0.00631775443332927;54:0.002324831179206621","Yes"
"43","130.10550340577407","121.76889810608864","0.007080078125","0.01123046875","0.0029296875","1560","0.00022697326200195992","32","0.00022697326200195992","0","0.00022697326200195992","0.00022697326200195992","42:0.002390648561429065;44:0.00225038376400874","42:68;44:68","42:0.00631775443332927;44:0.011776784624537628","Yes"
"44","175.0797552896281","205.76960882162658","0.013916015625","0.01171875","0.01611328125","1560","0.00016807247989794746","32","0.00016807247989794746","0","0.00016807247989794746","0.00016807247989794746","45:0.002597710446739565;35:0.0036857535322629142;43:0.00225038376400874","45:68;35:108;43:68","45:0.006754716176042869;35:0.004173728365343604;43:0.011776784624537628","Yes"
"45","27.6058393896293","33.55582537256272","0.009765625","0.0146484375","0.0048828125","1560","0.0008898249062409135","32","0.0008898249062409135","0","0.0008898249062409135","0.0008898249062409135","44:0.002597710446739565;46:0.0028804755879471566","44:68;46:68","44:0.006754716176042869;46:0.010586904610869224","Yes"
"46","133.1345688225326","44.238011017672925","0.03515625","0.0498046875","0.0205078125","1560","0.00023087046407029718","32","0.00023087046407029718","0","0.00023087046407029718","0.00023087046407029718","45:0.0028804755879471566;47:0.003071811685475101;55:0.002202568344800593","45:68;47:68;55:68","45:0.010586904610869224;47:0.007421328942232158;55:0.0031067400589954164","Yes"
"47","209.23306216415716","66.60815856073206","0.021240234375","0.03759765625","0.0048828125","1560","0.00046367127316184576","32","0.00046367127316184576","0","0.00046367127316184576","0.00046367127316184576","48:0.0030879766432177214;46:0.003071811685475101","48:68;46:68","48:0.008071652468627233;46:0.007421328942232158","Yes"
"48","166.59452499146204","182.27373917655268","0.0361328125","0.04052734375","0.03173828125","1560","0.00028549220424366217","32","0.00028549220424366217","0","0.00028549220424366217","0.00028549220424366217","36:0.002391994738566494;47:0.0030879766432177214;49:0.005296878311969178","36:68;47:68;49:68","36:0.004841528567657127;47:0.008071652468627233;49:0.0036905629894186665","Yes"
"49","98.6406941951631","100.90699032576758","0.019775390625","0.0185546875","0.02099609375","1560","0.00031701984049171505","32","0.00031701984049171505","0","0.00031701984049171505","0.00031701984049171505","48:0.005296878311969178;50:0.0019156113705145195","48:68;50:68","48:0.0036905629894186665;50:0.004366980715299618","Yes"
"50","124.38574918138679","215.55973708270844","0.090576171875","0.11474609375","0.06640625","1560","0.00038151768038690757","32","0.00038151768038690757","0","0.00038151768038690757","0.00038151768038690757","56:0.0027479745700335345;49:0.0019156113705145195;51:0.00223955471707174","56:68;49:68;51:68","56:0.003316725809648202;49:0.004366980715299618;51:0.014596006405500211","Yes"
"51","219.3103385368308","154.6159711260621","0.008544921875","0.0068359375","0.01025390625","1560","0.00027686132019911857","32","0.00027686132019911857","0","0.00027686132019911857","0.00027686132019911857","50:0.00223955471707174;52:0.002218136364604717","50:68;52:68","50:0.014596006405500211;52:0.020026163179618195","Yes"
"52","174.36967146493654","194.537542538763","0.01904296875","0.01513671875","0.02294921875","1560","0.00023139245463610122","32","0.00023139245463610122","0","0.00023139245463610122","0.00023139245463610122","51:0.002218136364604717;37:0.0030428656566325873","51:68;37:104","51:0.020026163179618195;37:0.0026935807012745394","Yes"
"53","53.94003617528042","60.63642731977582","0.107177734375","0.1416015625","0.07275390625","1560","0.012095728420833026","32","0.012095728420833026","0","0.012095728420833026","0.012095728420833026","38:0.02537943398839365;57:0.03694429445420136","38:68;57:108","38:0.03843986694382637;57:0.033341822713607444","Yes"
"54","224.61772404962431","145.7512711698515","0.01171875","0.0087890625","0.0146484375","1560","0.0004382159747981625","32","0.0004382159747981625","0","0.0004382159747981625","0.0004382159747981625","42:0.002100001092567555;61:0.004195009594531174","42:80;61:152","42:0.002324831179206621;61:0.0034021378578030503","Yes"
"55","185.47527319112277","131.4920103919815","0.007568359375","0.009765625","0.00537109375","1560","0.0002567106761894028","32","0.0002567106761894028","0","0.0002567106761894028","0.0002567106761894028","65:0.005210455909351597;46:0.002202568344800593","65:120;46:68","65:0.0076888498157438034;46:0.0031067400589954164","Yes"
"56","261.0370089795692","184.72966550883146","0.008056640625","0.00830078125","0.0078125","1560","0.0003469223182179109","32","0.0003469223182179109","0","0.0003469223182179109","0.0003469223182179109","50:0.0027479745700335345;69:0.0030619340410293072","50:68;69:160","50:0.003316725809648202;69:0.004515777391283532","Yes"
"57","157.27808269291273","198.9881416850406","0.016357421875","0.01904296875","0.013671875","1560","0.0006671242038658906","32","0.0006671242038658906","0","0.0006671242038658906","0.0006671242038658906","53:0.03694429445420136;58:0.0029894283820937617","53:108;58:68","53:0.033341822713607444;58:0.0053909515213962644","Yes"
"58","171.70287623513443","168.008586604077","0.0146484375","0.015625","0.013671875","1560","0.0002909821245364098","32","0.0002909821245364098","0","0.0002909821245364098","0.0002909821245364098","57:0.0029894283820937617;59:0.0024787298576051664","57:68;59:68","57:0.0053909515213962644","Yes"
"59","171.10444071141467","143.87888460686116","0.03857421875","0.05517578125","0.02197265625","1560","0.00016485030825797939","32","0.00016485030825797939","0","0.00016485030825797939","0.00016485030825797939","72:0.0028885494316393534;58:0.0024787298576051664;60:0.00206914119115828","72:68;58:68;60:68","72:0.0034697386659919838","Yes"
"60","125.468679932413","147.33073699806894","0.0087890625","0.01171875","0.005859375","1560","0.00032134292838643","32","0.00032134292838643","0","0.00032134292838643","0.00032134292838643","61:0.0028533049382931386;59:0.00206914119115828","61:68;59:68","61:0.003193761904504211","Yes"
"61","239.1459885490536","231.6895566297209","0.00830078125","0.009765625","0.0068359375","1560","0.00025056546163266326","32","0.00025056546163266326","0","0.00025056546163266326","0.00025056546163266326","60:0.0028533049382931386;62:0.0043477973621935395;54:0.004195009594531174","60:68;62:68;54:152","60:0.003193761904504211;62:0.006323635667653704;54:0.0034021378578030503","Yes"
"62","135.84128194864428","106.74161800661747","0.012451171875","0.01611328125","0.0087890625","1560","0.0004267732153694525","32","0.0004267732153694525","0","0.0004267732153694525","0.0004267732153694525","61:0.0043477973621935395;63:0.004204641939997006","61:68;63:164","61:0.006323635667653704;63:0.0053663990933078","Yes"
"63","255.73895725664693","123.89012171498752","0.02685546875","0.04638671875","0.00732421875","1560","0.0006190718353833998","32","0.0006190718353833998","0","0.0006190718353833998","0.0006190718353833998","62:0.004204641939997006;64:0.002861400792896429;73:0.003311598483814182","62:164;64:68;73:88","62:0.0053663990933078;73:0.004818382760245654","Yes"
"64","237.45501458144523","116.08304064142983","0.071044921875","0.056640625","0.08544921875","1560","0.00029827804838838517","32","0.00029827804838838517","0","0.00029827804838838517","0.00029827804838838517","65:0.005810494785541381;63:0.002861400792896429","65:68;63:68","","Yes"
"65","206.649324602215","218.9671296187232","0.0126953125","0.017578125","0.0078125","1560","0.00017306218961695723","32","0.00017306218961695723","0","0.00017306218961695723","0.00017306218961695723","55:0.005210455909351597;64:0.005810494785541381;66:0.003972934927907151","55:120;64:68;66:68","55:0.0076888498157438034;66:0.008711289043551534","Yes"
"66","223.70174201448572","226.6805237583241","0.0068359375","0.0107421875","0.0029296875","1560","0.0003041946280890062","32","0.0003041946280890062","0","0.0003041946280890062","0.0003041946280890062","65:0.003972934927907151;67:0.003051038720017163","65:68;67:68","65:0.008711289043551534;67:0.0027965427833961665","Yes"
"67","138.06867931591879","97.14764256858398","0.03125","0.0380859375","0.0244140625","1560","0.0003741757995241602","32","0.0003741757995241602","0","0.0003741757995241602","0.0003741757995241602","68:0.011768433249534471;74:0.0035020117378808113;66:0.003051038720017163","68:88;74:72;66:68","68:0.018413865297916637;74:0.005094316347277167;66:0.0027965427833961665","Yes"
